cn_name,en_name,rating,comment_number,director
摔跤吧！爸爸,Dangal,9.1,494411,"导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...
                            2016 / 印度 / 剧情 传记 运动 家庭"
勇敢的心,Braveheart,8.8,310178,"导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...
                            1995 / 美国 / 动作 传记 剧情 历史 战争"
音乐之声,The Sound of Music,8.9,246581,"导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...
                            1965 / 美国 / 剧情 传记 爱情 歌舞"
剪刀手爱德华,Edward Scissorhands,8.7,514086,"导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...
                            1990 / 美国 / 剧情 奇幻 爱情"
本杰明·巴顿奇事,The Curious Case of Benjamin Button,8.7,417445,"导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...
                            2008 / 美国 / 剧情 爱情 奇幻"
低俗小说,Pulp Fiction,8.8,356777,"导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...
                            1994 / 美国 / 剧情 喜剧 犯罪"
看不见的客人,Contratiempo,8.8,353836,"导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...
                            2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚"
西西里的美丽传说,Malèna,8.7,375599,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...
                            2000 / 意大利 美国 / 剧情 战争 情色"
黑客帝国,The Matrix,8.8,299967,"导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
                            1999 / 美国 澳大利亚 / 动作 科幻"
拯救大兵瑞恩,Saving Private Ryan,8.9,255643,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
                            1998 / 美国 / 剧情 历史 战争"
沉默的羔羊,The Silence of the Lambs,8.7,375772,"导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...
                            1991 / 美国 / 剧情 犯罪 惊悚"
入殓师,おくりびと,8.8,333211,"导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...
                            2008 / 日本 / 剧情"
蝴蝶效应,The Butterfly Effect,8.7,405617,"导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚"
玛丽和马克思,Mary and Max,8.9,241579,"导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...
                            2009 / 澳大利亚 / 剧情 动画"
让子弹飞,让子弹飞一会儿  /  火烧云,8.7,661719,"导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
                            2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部"
春光乍泄,春光乍洩,8.8,263330,"导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...
                            1997 / 香港 日本 韩国 / 剧情 爱情 同性"
大闹天宫,大闹天宫 上下集  /  The Monkey King,9.2,108255,"导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻"
心灵捕手,Good Will Hunting,8.8,288354,"导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...
                            1997 / 美国 / 剧情"
幽灵公主,もののけ姫,8.8,249202,"导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...
                            1997 / 日本 / 动作 爱情 战争 动画 奇幻 冒险"
阳光灿烂的日子,In the Heat of the Sun,8.8,286566,"导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao
                            1994 / 中国大陆 香港 / 剧情"
第六感,The Sixth Sense,8.8,247627,"导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...
                            1999 / 美国 / 剧情 悬疑 惊悚"
